FAILED: Out of stock [101]
SUCCESS: purchased [EMER001] for Rs.50.000000
SUCCESS: purchased [EMER001] for Rs.50.000000
RESTOCK: [EMER001] +50
RESTOCK: [EMER001] +-50
FAILED: Out of stock [MED002]
SUCCESS: purchased [MED001] for Rs.120.000000
FAILED: Out of stock [101]
FAILED: Out of stock [EMER001]
2026-05-11 18:05:48,PURCHASE,"[User: cust001] [ID: TXN0548552] SUCCESS: [FOOD001] Rs.17.000000"
2026-05-11 18:06:52,REFUND,"REFUNDED: txn=cust001 product=FOOD001 stock restored"
2026-05-11 18:07:42,REFUND,"REFUNDED: txn=TXN0548552 product=FOOD001 stock restored"
2026-05-11 18:08:23,REFUND,"REFUNDED: txn=TXN0548552 product=FOOD001 stock restored"
2026-05-11 18:08:54,PURCHASE,"[User: cust001] [ID: TXN0854955] SUCCESS: [FOOD001] Rs.17.000000"
2026-05-11 18:09:14,REFUND,"REFUNDED: txn=CUST001 product=FOOD001 stock restored"
2026-05-11 18:10:07,REFUND,"REFUNDED: txn=CUST001 product=FOOD001 stock restored"
2026-05-11 18:11:38,PURCHASE,"[User: cust001] [ID: TXN1138211] SUCCESS: [FOOD003] Rs.42.500000"
2026-05-11 18:15:38,RESTOCK,"RESTOCK: [FOOD001] +1 | new stock: 11"
2026-05-11 18:16:44,RESTOCK,"RESTOCK: [FOOD002] +2 | new stock: 10"
2026-05-11 18:22:10,PURCHASE,"[User: cust001] [ID: TXN2210174] SUCCESS: [FOOD002] Rs.29.750000"
2026-05-11 18:22:59,REFUND,"REFUNDED: txn=TXN2210174 product=FOOD002 stock restored"
2026-05-11 18:24:07,REFUND,"REFUNDED: txn=xyz product=FOOD001 stock restored"
